t,S
-1.000000000000000056e-01,4.000000000000000000e+00
-9.979999999999999982e-02,3.874179694005206898e+00
-9.959999999999999409e-02,3.504673226094102922e+00
-9.939999999999998836e-02,2.914838605377735092e+00
-9.919999999999998264e-02,2.141953634928459138e+00
-9.899999999999997691e-02,1.234848428599327974e+00
-9.879999999999997118e-02,2.508052898597569191e-01
-9.859999999999996545e-02,-7.480762795401363352e-01
-9.839999999999995972e-02,-1.698817661434819826e+00
-9.819999999999995399e-02,-2.541551351119748947e+00
-9.799999999999994826e-02,-3.223309296215313591e+00
-9.779999999999994253e-02,-3.701368459360810270e+00
-9.759999999999993681e-02,-3.945941263498376816e+00
-9.739999999999993108e-02,-3.942040664286877050e+00
-9.719999999999992535e-02,-3.690402505955296064e+00
-9.699999999999991962e-02,-3.207408147144375388e+00
-9.679999999999991389e-02,-2.524014213229398784e+00
-9.659999999999990816e-02,-1.683759641773742599e+00
-9.639999999999990243e-02,-7.399788822147065348e-01
-9.619999999999989670e-02,2.475995616609129035e-01
-9.599999999999989098e-02,1.216651303258700079e+00
-9.579999999999988525e-02,2.106208288893682390e+00
-9.559999999999987952e-02,2.860513237438257139e+00
-9.539999999999987379e-02,3.432531453455061499e+00
-9.519999999999986806e-02,3.786897760658131329e+00
-9.499999999999986233e-02,3.902113032590301511e+00
-9.479999999999985660e-02,3.771853262559837106e+00
-9.459999999999985087e-02,3.405311171729479280e+00
-9.439999999999984515e-02,2.826552318298209965e+00
-9.419999999999983942e-02,2.072930555342603398e+00
-9.399999999999983369e-02,1.192667458968521554e+00
-9.379999999999982796e-02,2.417531959015183640e-01
-9.359999999999982223e-02,-7.196311357384451712e-01
-9.339999999999981650e-02,-1.630940059310371781e+00
-9.319999999999981077e-02,-2.435094737354348560e+00
-9.299999999999980504e-02,-3.082074913580825637e+00
-9.279999999999979932e-02,-3.532044680158482830e+00
-9.259999999999979359e-02,-3.757815837717746632e+00
-9.239999999999978786e-02,-3.746495857911121163e+00
-9.219999999999978213e-02,-3.500220243865560743e+00
-9.199999999999977640e-02,-3.035927981628828487e+00
-9.179999999999977067e-02,-2.384199980928430662e+00
-9.159999999999976494e-02,-1.587239984206810783e+00
-9.139999999999975921e-02,-6.961315734300910218e-01
-9.119999999999975349e-02,2.324498103167113583e-01
-9.099999999999974776e-02,1.139857344361911773e+00
-9.079999999999974203e-02,1.969193520760627925e+00
-9.059999999999973630e-02,2.668893960000899401e+00
-9.039999999999973057e-02,3.195947593159630173e+00
-9.019999999999972484e-02,3.518551226283611832e+00
-8.999999999999971911e-02,3.618033988749873586e+00
-8.979999999999971338e-02,3.489934890382079047e+00
-8.959999999999970766e-02,3.144171540538643228e+00
-8.939999999999970193e-02,2.604296453105831244e+00
-8.919999999999969620e-02,1.905895510078094768e+00
-8.899999999999969047e-02,1.094237361565893574e+00
-8.879999999999968474e-02,2.213293618125260764e-01
-8.859999999999967901e-02,-6.574278596737033187e-01
-8.839999999999967328e-02,-1.486771168027307688e+00
-8.819999999999966755e-02,-2.215065087015362089e+00
-8.799999999999966183e-02,-2.797530004650948587e+00
-8.779999999999965610e-02,-3.199005759604760524e+00
-8.759999999999965037e-02,-3.396079414367284777e+00
-8.739999999999964464e-02,-3.378448132459959563e+00
-8.719999999999963891e-02,-3.149438037982703165e+00
-8.699999999999963318e-02,-2.725654473041937642e+00
-8.679999999999962745e-02,-2.135794645417537385e+00
-8.659999999999962172e-02,-1.418706705308863780e+00
-8.639999999999961600e-02,-6.208264332723941736e-01
-8.619999999999961027e-02,2.068389990432011050e-01
-8.599999999999960454e-02,1.011983679660699798e+00
-8.579999999999959881e-02,1.744321290672145253e+00
-8.559999999999959308e-02,2.358737803031100810e+00
-8.539999999999958735e-02,2.818080121830158546e+00
-8.519999999999958162e-02,3.095407719346461750e+00
-8.499999999999957589e-02,3.175570504584902753e+00
-8.479999999999957017e-02,3.056020711981497939e+00
-8.459999999999956444e-02,2.746816499089337338e+00
-8.439999999999955871e-02,2.269826962433316719e+00
-8.419999999999955298e-02,1.657199053167038416e+00
-8.399999999999954725e-02,9.491931601281488051e-01
-8.379999999999954152e-02,1.915330147746542866e-01
-8.359999999999953579e-02,-5.675553414028690069e-01
-8.339999999999953006e-02,-1.280423243148163248e+00
