w,G1,P1,G2,P2,G,P
1.000000000000000056e-01,3.980148760839957167e-01,8.428940686250034275e+01,1.999900007499375354e+00,-5.729386976834860423e-01,7.959899536652458307e-01,8.371646816481687381e+01
1.047370897959449404e-01,4.166691917422725155e-01,8.402080683681256801e+01,1.999890310444719876e+00,-6.000773784754899198e-01,8.332926792262038695e-01,8.342072945833709241e+01
1.096985797892383457e-01,4.361777343658649331e-01,8.373976570485972104e+01,1.999879673075720010e+00,-6.285013540391346520e-01,8.723029848065141367e-01,8.311126435082059061e+01
1.148951000187309196e-01,4.565766726897801386e-01,8.344573554715628916e+01,1.999868004228229745e+00,-6.582714669160024679e-01,9.130930791892760690e-01,8.278746408024028369e+01
1.203377840777589552e-01,4.779032715423422450e-01,8.313814848404345526e+01,1.999855203903182721e+00,-6.894514354065965911e-01,9.557373445563089875e-01,8.244869704863684490e+01
1.260382929679727537e-01,5.001958575899686510e-01,8.281641657858538963e+01,1.999841162411095885e+00,-7.221079888437910155e-01,1.000312265275937529e+00,8.209430858974160117e+01
1.320088400831417874e-01,5.234937720625624236e-01,8.247993185003575434e+01,1.999825759433875305e+00,-7.563110091323496098e-01,1.046896330273918263e+00,8.172362084090340772e+01
1.382622173764655737e-01,5.478373084976636553e-01,8.212806641749875780e+01,1.999808862995968717e+00,-7.921336788302437704e-01,1.095569905013484835e+00,8.133593273866851803e+01
1.448118227674533853e-01,5.732676333317692219e-01,8.176017279581567720e+01,1.999790328336132239e+00,-8.296526360574035808e-01,1.146415068685016081e+00,8.093052015975828795e+01
1.516716888470922842e-01,5.998266869490268549e-01,8.137558436829422703e+01,1.999769996670256234e+00,-8.689481365274795976e-01,1.199515411762786199e+00,8.050663623176674832e+01
1.588565129428052836e-01,6.275570625744740783e-01,8.097361606365065256e+01,1.999747693834789342e+00,-9.101042230080590434e-01,1.254955788633039138e+00,8.006351184064259030e+01
1.663816886076129042e-01,6.565018601762750983e-01,8.055356526742789924e+01,1.999723228799286323e+00,-9.532089025244921965e-01,1.312822019544438445e+00,7.960035636490340494e+01
1.742633386009649898e-01,6.867045123259243322e-01,8.011471300114864391e+01,1.999696392035539283e+00,-9.983543316319771765e-01,1.373200535692675528e+00,7.911635866951665719e+01
1.825183494319043420e-01,7.182085787661357523e-01,7.965632540550606677e+01,1.999666953729544838e+00,-1.045637010089669472e+00,1.436177960843704859e+00,7.861068839541638908e+01
1.911644075385702246e-01,7.510575062646555056e-01,7.917765556691415441e+01,1.999634661821279913e+00,-1.095157983279205327e+00,1.501840622547858439e+00,7.808249758363494664e+01
2.002200371815584523e-01,7.852943502030098610e-01,7.867794572963173039e+01,1.999599239855821109e+00,-1.147023053718019714e+00,1.570273985729009558e+00,7.753092267591371467e+01
2.097046401323232889e-01,8.209614542799053005e-01,7.815642993831851015e+01,1.999560384627818488e+00,-1.201343002024972462e+00,1.641562001284540662e+00,7.695508693629352592e+01
2.196385372416545800e-01,8.581000847211255333e-01,7.761233715811187039e+01,1.999517763599632181e+00,-1.258233817701871482e+00,1.715786362346239935e+00,7.635410334040999203e+01
2.300430119772917947e-01,8.967500155066226997e-01,7.704489492093799186e+01,1.999471012071612819e+00,-1.317816940099275191e+00,1.793025661080260846e+00,7.572707798083870046e+01
2.409403560239525011e-01,9.369490613805022683e-01,7.645333354754721711e+01,1.999419730081002156e+00,-1.380219509938094058e+00,1.873354439405052307e+00,7.507311403760911617e+01
2.523539170434765944e-01,9.787325558341651854e-01,7.583689099441184567e+01,1.999363479003759547e+00,-1.445574631759756201e+00,1.956842127846837753e+00,7.439131636265209124e+01
2.643081486974105387e-01,1.022132771883840441e+00,7.519481837281283276e+01,1.999301777831239857e+00,-1.514021647676548898e+00,2.043551868006935113e+00,7.368079672513628964e+01
2.768286630392066128e-01,1.067178284340785765e+00,7.452638618379832280e+01,1.999234099091099059e+00,-1.585706422789814996e+00,2.133539215863635707e+00,7.294067976100851070e+01
2.899422853882876461e-01,1.113893273436240117e+00,7.383089130680595247e+01,1.999159864378985851e+00,-1.660781642636408817e+00,2.226850725455458591e+00,7.217010966416954432e+01
