time	V(cap)	V(source)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.142857087291697e-08	3.759883e-05	5.744954e-02
1.828571417458339e-07	1.353809e-04	1.148896e-01
2.742857126187509e-07	2.933463e-04	1.723202e-01
3.657142834916679e-07	5.114950e-04	2.297414e-01
4.571428543645849e-07	7.898270e-04	2.871531e-01
5.485714252375018e-07	1.128342e-03	3.445553e-01
6.399999961104186e-07	1.527041e-03	4.019481e-01
1.128281246110419e-06	4.350907e-03	7.081597e-01
1.616562496110419e-06	8.523312e-03	1.013732e+00
2.104843746110419e-06	1.416149e-02	1.318350e+00
2.593124996110419e-06	2.125295e-02	1.621728e+00
3.081406246110419e-06	2.978389e-02	1.923579e+00
3.569687496110419e-06	3.973915e-02	2.223619e+00
4.057968746110418e-06	5.110230e-02	2.521567e+00
4.546249996110419e-06	6.385560e-02	2.817142e+00
5.034531246110419e-06	7.798003e-02	3.110065e+00
5.522812496110420e-06	9.345536e-02	3.400062e+00
6.011093746110420e-06	1.102601e-01	3.686858e+00
6.499374996110420e-06	1.283714e-01	3.970184e+00
6.987656246110421e-06	1.477655e-01	4.249774e+00
7.475937496110421e-06	1.684172e-01	4.525364e+00
7.964218746110422e-06	1.903004e-01	4.796695e+00
8.452499996110422e-06	2.133876e-01	5.063511e+00
9.429062496110423e-06	2.630592e-01	5.582600e+00
1.040562499611042e-05	3.171916e-01	6.080678e+00
1.138218749611042e-05	3.755281e-01	6.555869e+00
1.284703124611043e-05	4.703165e-01	7.221857e+00
1.431187499611043e-05	5.729714e-01	7.826711e+00
1.549770088896757e-05	6.626791e-01	8.272472e+00
1.668352678182472e-05	7.547373e-01	8.667678e+00
1.786935267468186e-05	8.491460e-01	9.012329e+00
1.905517856753900e-05	9.459050e-01	9.306425e+00
2.024100446039615e-05	1.045015e+00	9.549965e+00
2.142683035325329e-05	1.146475e+00	9.742951e+00
2.261265624611043e-05	1.250285e+00	9.885382e+00
2.407749999611044e-05	1.379565e+00	9.978336e+00
2.554234374611044e-05	1.504828e+00	9.988672e+00
2.700718749611044e-05	1.626073e+00	9.916390e+00
2.847203124611044e-05	1.743300e+00	9.761489e+00
2.993687499611044e-05	1.856510e+00	9.523971e+00
3.140171874611045e-05	1.965702e+00	9.203833e+00
