t,sinus,cosinus
0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
2.000000000000000042e-03,1.255810390586267478e-01,1.996053456856543118e+00
4.000000000000000083e-03,2.506664671286085166e-01,1.984229402628955752e+00
6.000000000000000125e-03,3.747626291714492575e-01,1.964574501457377442e+00
8.000000000000000167e-03,4.973797743297095897e-01,1.937166322257262152e+00
1.000000000000000021e-02,6.180339887498947915e-01,1.902113032590307062e+00
1.200000000000000025e-02,7.362491053693559495e-01,1.859552971776502694e+00
1.400000000000000029e-02,8.515585831301453190e-01,1.809654104932039154e+00
1.600000000000000033e-02,9.635073482034306469e-01,1.752613360087727168e+00
1.800000000000000211e-02,1.071653589957993313e+00,1.688655851004030151e+00
2.000000000000000042e-02,1.175570504584946274e+00,1.618033988749894903e+00
2.199999999999999872e-02,1.274847979497379269e+00,1.541026485551578507e+00
2.400000000000000050e-02,1.369094211857377452e+00,1.457937254842823105e+00
2.600000000000000228e-02,1.457937254842823105e+00,1.369094211857377452e+00
2.800000000000000058e-02,1.541026485551578284e+00,1.274847979497379491e+00
2.999999999999999889e-02,1.618033988749894680e+00,1.175570504584946496e+00
3.200000000000000067e-02,1.688655851004030151e+00,1.071653589957993313e+00
3.400000000000000244e-02,1.752613360087727390e+00,9.635073482034304249e-01
3.600000000000000422e-02,1.809654104932039154e+00,8.515585831301453190e-01
3.799999999999999906e-02,1.859552971776502694e+00,7.362491053693561716e-01
4.000000000000000083e-02,1.902113032590307062e+00,6.180339887498949025e-01
4.200000000000000261e-02,1.937166322257262152e+00,4.973797743297094787e-01
4.399999999999999745e-02,1.964574501457377220e+00,3.747626291714494240e-01
4.599999999999999922e-02,1.984229402628955752e+00,2.506664671286085166e-01
4.800000000000000100e-02,1.996053456856543118e+00,1.255810390586265812e-01
5.000000000000000278e-02,2.000000000000000000e+00,1.224646799147353207e-16
5.200000000000000455e-02,1.996053456856543118e+00,-1.255810390586268033e-01
5.399999999999999939e-02,1.984229402628955752e+00,-2.506664671286082946e-01
5.600000000000000117e-02,1.964574501457377442e+00,-3.747626291714492019e-01
5.800000000000000294e-02,1.937166322257262152e+00,-4.973797743297097007e-01
5.999999999999999778e-02,1.902113032590307284e+00,-6.180339887498946805e-01
6.199999999999999956e-02,1.859552971776502694e+00,-7.362491053693559495e-01
6.400000000000000133e-02,1.809654104932038932e+00,-8.515585831301455411e-01
6.600000000000000311e-02,1.752613360087726946e+00,-9.635073482034307579e-01
6.800000000000000488e-02,1.688655851004029929e+00,-1.071653589957993535e+00
7.000000000000000666e-02,1.618033988749894903e+00,-1.175570504584946052e+00
7.200000000000000844e-02,1.541026485551578507e+00,-1.274847979497379269e+00
7.399999999999999634e-02,1.457937254842823549e+00,-1.369094211857376786e+00
7.599999999999999811e-02,1.369094211857377674e+00,-1.457937254842822661e+00
7.799999999999999989e-02,1.274847979497379713e+00,-1.541026485551578284e+00
8.000000000000000167e-02,1.175570504584946496e+00,-1.618033988749894680e+00
8.200000000000000344e-02,1.071653589957993313e+00,-1.688655851004030151e+00
8.400000000000000522e-02,9.635073482034304249e-01,-1.752613360087727390e+00
8.600000000000000699e-02,8.515585831301449860e-01,-1.809654104932039154e+00
8.799999999999999489e-02,7.362491053693562826e-01,-1.859552971776502694e+00
8.999999999999999667e-02,6.180339887498950135e-01,-1.902113032590307062e+00
9.199999999999999845e-02,4.973797743297095897e-01,-1.937166322257262152e+00
9.400000000000000022e-02,3.747626291714490909e-01,-1.964574501457377442e+00
9.600000000000000200e-02,2.506664671286081836e-01,-1.984229402628955752e+00
9.800000000000000377e-02,1.255810390586271641e-01,-1.996053456856543118e+00
1.000000000000000056e-01,2.449293598294706414e-16,-2.000000000000000000e+00
1.020000000000000073e-01,-1.255810390586266645e-01,-1.996053456856543118e+00
1.040000000000000091e-01,-2.506664671286086277e-01,-1.984229402628955752e+00
1.059999999999999970e-01,-3.747626291714487023e-01,-1.964574501457377442e+00
1.079999999999999988e-01,-4.973797743297091456e-01,-1.937166322257262374e+00
1.100000000000000006e-01,-6.180339887498945695e-01,-1.902113032590307284e+00
1.120000000000000023e-01,-7.362491053693558385e-01,-1.859552971776502917e+00
1.140000000000000041e-01,-8.515585831301454300e-01,-1.809654104932038932e+00
1.160000000000000059e-01,-9.635073482034307579e-01,-1.752613360087726946e+00
1.180000000000000077e-01,-1.071653589957993535e+00,-1.688655851004029929e+00
1.199999999999999956e-01,-1.175570504584946052e+00,-1.618033988749894903e+00
1.219999999999999973e-01,-1.274847979497379269e+00,-1.541026485551578507e+00
1.239999999999999991e-01,-1.369094211857377452e+00,-1.457937254842823105e+00
1.260000000000000009e-01,-1.457937254842822661e+00,-1.369094211857377896e+00
1.280000000000000027e-01,-1.541026485551578729e+00,-1.274847979497379269e+00
1.300000000000000044e-01,-1.618033988749894680e+00,-1.175570504584946496e+00
1.320000000000000062e-01,-1.688655851004030595e+00,-1.071653589957992647e+00
1.340000000000000080e-01,-1.752613360087727168e+00,-9.635073482034306469e-01
1.360000000000000098e-01,-1.809654104932039598e+00,-8.515585831301443198e-01
1.380000000000000115e-01,-1.859552971776502917e+00,-7.362491053693555054e-01
1.400000000000000133e-01,-1.902113032590307062e+00,-6.180339887498951246e-01
1.420000000000000151e-01,-1.937166322257262374e+00,-4.973797743297088680e-01
1.440000000000000169e-01,-1.964574501457377442e+00,-3.747626291714492575e-01
1.459999999999999909e-01,-1.984229402628955530e+00,-2.506664671286092383e-01
1.479999999999999927e-01,-1.996053456856543118e+00,-1.255810390586281633e-01
1.499999999999999944e-01,-2.000000000000000000e+00,-3.673940397442059375e-16
1.519999999999999962e-01,-1.996053456856543118e+00,1.255810390586256653e-01
1.539999999999999980e-01,-1.984229402628955752e+00,2.506664671286084611e-01
1.559999999999999998e-01,-1.964574501457377442e+00,3.747626291714485358e-01
1.580000000000000016e-01,-1.937166322257262152e+00,4.973797743297099228e-01
1.600000000000000033e-01,-1.902113032590307284e+00,6.180339887498944584e-01
1.620000000000000051e-01,-1.859552971776502472e+00,7.362491053693566156e-01
1.640000000000000069e-01,-1.809654104932039154e+00,8.515585831301453190e-01
1.660000000000000087e-01,-1.752613360087726724e+00,9.635073482034314241e-01
1.680000000000000104e-01,-1.688655851004030151e+00,1.071653589957993313e+00
1.700000000000000122e-01,-1.618033988749895125e+00,1.175570504584945830e+00
1.720000000000000140e-01,-1.541026485551578062e+00,1.274847979497379935e+00
1.740000000000000158e-01,-1.457937254842823105e+00,1.369094211857377230e+00
1.759999999999999898e-01,-1.369094211857377896e+00,1.457937254842822661e+00
1.779999999999999916e-01,-1.274847979497380601e+00,1.541026485551577618e+00
1.799999999999999933e-01,-1.175570504584946496e+00,1.618033988749894680e+00
1.819999999999999951e-01,-1.071653589957994201e+00,1.688655851004029484e+00
1.839999999999999969e-01,-9.635073482034306469e-01,1.752613360087727168e+00
1.859999999999999987e-01,-8.515585831301459852e-01,1.809654104932038710e+00
1.880000000000000004e-01,-7.362491053693556164e-01,1.859552971776502917e+00
1.900000000000000022e-01,-6.180339887498952356e-01,1.902113032590307062e+00
1.920000000000000040e-01,-4.973797743297089791e-01,1.937166322257262374e+00
1.940000000000000058e-01,-3.747626291714493685e-01,1.964574501457377442e+00
1.960000000000000075e-01,-2.506664671286093493e-01,1.984229402628955530e+00
1.980000000000000093e-01,-1.255810390586265257e-01,1.996053456856543118e+00
